Model,Family,Institute,Country,Type,Parents,Predecessor,"CMIP3 names","CMIP5 names","CMIP6 names","References (note: see the supplement for a list of references)"
"CSIRO Mk3L",CSIRO,CSIRO/QCCCE/UNSW/BOM/ARCCSS,Australia,AOGCM,"CSIRO Mk3.0",,,CSIRO-Mk3L-1-2,,"Phipps et al. (2011)"
IPSL-CM4,IPSL,IPSL,France,ESM,,,ipsl_cm4,,,"IPSL CMC (2022): https://cmc.ipsl.fr/ipsl-climate-models/ipsl-cm4/"
IPSL-CM5A,IPSL,IPSL,France,ESM,,IPSL-CM4,,"IPSL-CM5A-LR,IPSL-CM5A-MR",,
IPSL-CM5B,IPSL,IPSL,France,ESM,,IPSL-CM5A,,IPSL-CM5B-LR,,
IPSL-CM6A,IPSL,IPSL,France,ESM,,IPSL-CM5B,,,"IPSL-CM6A-ATM-HR,IPSL-CM6A-LR,IPSL-CM6A-LR-INCA",
IPSL-CM5A2,IPSL,IPSL,France,ESM,IPSL-CM5A,,,,IPSL-CM5A2-INCA,"Sepulchre et al. (2020)"
GFDL-AM2.0,GFDL,"NASA GFDL",USA,AGCM,,,,,,
GFDL-AM2.1,GFDL,"NASA GFDL",USA,AGCM,,GFDL-AM2.0,,,,
GFDL-AM2.5,GFDL,"NASA GFDL",USA,AGCM,,GFDL-AM2.1,,,,
GFDL-AM3,GFDL,"NASA GFDL",USA,AGCM,,GFDL-AM2.5,,,,
GFDL-AM4,GFDL,"NASA GFDL",USA,AGCM,,GFDL-AM3,,,GFDL-AM4,
GFDL-CM2.0,GFDL,"NASA GFDL",USA,AOGCM,GFDL-AM2.0,,gfdl_cm2_0,,,"Delworth et al. (2006)"
GFDL-CM2.1,GFDL,"NASA GFDL",USA,AOGCM,GFDL-AM2.1,GFDL-CM2.0,gfdl_cm2_1,"GFDL-CM2-1,GFDL-CM2p1",,
GFDL-CM2.5,GFDL,"NASA GFDL",USA,AOGCM,GFDL-AM2.5,GFDL-CM2.1,,,,
GFDL-CM3,GFDL,"NASA GFDL",USA,AOGCM,GFDL-AM3,GFDL-CM2.5,,GFDL-CM3,,
GFDL-CM4,GFDL,"NASA GFDL",USA,AOGCM,GFDL-AM4,GFDL-CM3,,,"GFDL-CM4,GFDL-CM4C192",
GFDL-ESM2G,GFDL,"NASA GFDL",USA,ESM,GFDL-CM2.1,,,GFDL-ESM2G,,"Dunne et al. (2012)"
GFDL-ESM4,GFDL,"NASA GFDL",USA,ESM,GFDL-CM4,,,,GFDL-ESM4,"Dunne et al. (2020)"
GFDL-ESM2M,GFDL,"NASA GFDL",USA,ESM,GFDL-CM2.1,,,GFDL-ESM2M,GFDL-ESM2M,"Dunne et al. (2012)"
KIOST-ESM,GFDL,KIOST,"South Korea",ESM,GFDL-CM2.5,,,,KIOST-ESM,"Pak et al. (2021)"
GFDL-HiRAM,GFDL,"NASA GFDL",USA,AGCM,GFDL-AM2.1,,,"GFDL-HIRAM-C180,GFDL-HIRAM-C360",,"Zhao et al. (2009)"
GEOS-5,GEOS,"NASA GMAO",USA,AGCM,,,,GEOS-5,,
GEOSCCM,GEOS,"NASA GSFC",USA,AGCM,GEOS-5,,,GEOSCCM,,"Li et al. (2012)"
GFS,GFS,NCEP,USA,AGCM,,,,,,
CFS,GFS,NCEP,USA,AOGCM,GFS,,,,,"Saha et al. (2006)"
CFSv2,GFS,NCEP,USA,AOGCM,,CFS,,CFSv2-2011,,
IITM-ESM,GFS,"IITM CCCR",India,ESM,CFSv2,,,,IITM-ESM,"Krishnan et al. (2021)"
INM-CM3.0,INM,INM,Russia,AOGCM,,,inmcm3_0,,,
INM-CM4,INM,INM,Russia,AOGCM,,INM-CM3.0,,INM-CM4,,
INM-CM4.8,INM,INM,Russia,AOGCM,,INM-CM4,,,INM-CM4-8,
INM-CM5.0,INM,INM,Russia,AOGCM,,INM-CM4.8,,,"INM-CM5-0,INM-CM5-H",
"UA MCM","UA MCM",UA,USA,AOGCM,,,,,MCM-UA-1-0,
MIROC3.2,MIROC,CCSR/NIES/FRCGC/MIROC,Japan,AOGCM,,,"miroc3_2_hires,miroc3_2_medres",,,
MIROC4h,MIROC,CCSR/NIES/FRCGC/MIROC,Japan,AOGCM,,MIROC3.2,,MIROC4h,,
MIROC5,MIROC,CCSR/NIES/FRCGC/MIROC,Japan,AOGCM,,MIROC4h,,MIROC5,,
MIROC5.2,MIROC,CCSR/NIES/FRCGC/MIROC,Japan,AOGCM,,MIROC5,,,,
MIROC6,MIROC,CCSR/NIES/FRCGC/MIROC,Japan,AOGCM,,MIROC5.2,,,MIROC6,
MIROC-ESM,MIROC,CCSR/NIES/FRCGC/MIROC,Japan,ESM,MIROC3.2,,,MIROC-ESM,,"Oghaito et al. (2013)"
MIROC-ES2,MIROC,CCSR/NIES/FRCGC/MIROC,Japan,ESM,MIROC5.2,MIROC-ESM,,,"MIROC-ES2H,MIROC-ES2L","Hajima et al. (2020)"
MIROC-ESM-CHEM,MIROC,CCSR/NIES/FRCGC/MIROC,Japan,ESM,MIROC-ESM,,,MIROC-ESM-CHEM,,
NICAM0.9,NICAM,CCSR/NIES/FRCGC/MIROC,Japan,AGCM,,,,NICAM-09,,
NICAM.16,NICAM,CCSR/NIES/FRCGC/MIROC,Japan,AGCM,,NICAM0.9,,,"NICAM16-7S,NICAM16-8S,NICAM16-9S",
"UCLA GCM II","UCLA GCM",UCLA,USA,AGCM,,,,,,
"UCLA GCM III","UCLA GCM",UCLA,USA,AGCM,,"UCLA GCM II",,,,
"GISS Model II","UCLA GCM","NASA GISS",USA,AOGCM,"UCLA GCM II",,,,,"Somerville et al. (1974), Edwards (2000)"
GISS-E1,"UCLA GCM","NASA GISS",USA,AOGCM,,"GISS Model II","giss_model_e_h,giss_model_e_r",,,"Schmidt et al. (2006)"
GISS-E2,"UCLA GCM","NASA GISS",USA,ESM,,GISS-E1,,"GISS-E2-H,GISS-E2-H-CC,GISS-E2-R,GISS-E2-R-CC",,"Schmidt et al. (2014)"
GISS-E2.1,"UCLA GCM","NASA GISS",USA,ESM,,GISS-E2,,,"GISS-E2-1-G,GISS-E2-1-G-CC,GISS-E2-1-H",
GISS-E2.2,"UCLA GCM","NASA GISS",USA,ESM,,GISS-E2.1,,,"GISS-E2-2-G,GISS-E2-2-H",
GISS-E3,"UCLA GCM","NASA GISS",USA,ESM,,GISS-E2.2,,,GISS-E3-G,
GISS-AOM,"UCLA GCM","NASA GISS",USA,AOGCM,"GISS Model III",,giss_aom,,,"Russel et al. (2010)"
MRI-GCM1,"UCLA GCM",MRI,Japan,AGCM,"UCLA GCM II",,,,,"Tokioka et al. (1984), Edwards (2000)"
MRI-AGCM2,"UCLA GCM",MRI,Japan,AGCM,,MRI-GCM1,,,,
